"","Title","Author l-f","ISBN13","Date Borrowed","Year Read","Author","Additional Authors","ISBN10","Number of Pages","Year Published","Original Publication Year","Date Read","User Genre","Fiction Status","User Tags","Ownership Status","Buy?"
"20","Codex","Grossman, Lev",NA,"08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Aleph","Coelho, Paulo","9780307957016","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Everlasting Lane","Lovett, Andrew","9781612193816","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Among Others","Walton, Jo",NA,"08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","The Waiting Rooms","Smith, Eve","9781913193270","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Drowned","Bohman, Therese","9781590515259","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Blood and Moonlight","Beaty, Erin","9781250755827","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Oval","Wilk, Elvia","9781593764340","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","The Iron King","Kagawa, Julie",NA,"08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Getting It Right","Arthur, A.M.","9781426899577","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Guilty","McClintock, Norah","9781554699933","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","In the Face of the Sun","Bryce, S., Denny","9781496730114","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Lost in the Moment and Found","McGuire, Seanan","9781250213648","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Don't Believe It","Donlea, Charlie","9780786042234","08/11/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","The Immortalists","Benjamin, Chloe","9780735213197","03/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Vanishing Girls","Oliver, Lauren","9780062224125","03/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","One More Thing","Novak, J., B.","9780385351843","03/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","First Light","Stead, Rebecca","9780307495471","03/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Heroes of the Frontier","Eggers, Dave","9780451493811","03/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","The Immortalists","Benjamin, Chloe","9780735213197","03/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Vanishing Girls","Oliver, Lauren","9780062224125","03/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","One More Thing","Novak, J., B.","9780385351843","03/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
