Book Title,Author l-f,Additional Authors,ISBN-10,ISBN-13,Number of Pages,Year Published,Original Publication Year,Year Read,User Genre,Fiction Status,User Tags,Ownership Status,Buy?
Vera Rubin: A Life,"Mitton, Jacqueline","Simon Mitton, Jocelyn Bell Burnell",067491919X,9780674919198,320,2021,2021,2021,history;biography;astronomy,non-fiction,,,y
"One Night, New York","Thompson, Lara",,1643138391,9781643138398,336,2021,2021,2021,,,,,
Driftwood,"Cassidy, Cathy",,,,,,2011,2013,,,,,
"Ignite (Project Integrate, #0.5)","Campbell, Jamie",,,,48,2013,2013,2015,,,,,
Insanity (Mad in Wonderland - Alice Wonder series) Books 1 - 5,"Jace, Cameron",,,,1386,2018,2014,2015,,,,,
Stargazing for Dummies,"Owens, Steve",,1118411579,9781118411575,352,2013,2013,2018,astronomy,non-fiction,,own-physical,
Reading the Clouds: How You Can Forecast the Weather,"Perkins, Oliver","Tom Cunliffe, Duncan Wells",1472960181,9781472960184,128,2019,2019,2020,nature,non-fiction,,,
The Tree,"Woldendorp, Richard",,1925591697,9781925591699,144,2019,2013,2020,nature,non-fiction,,,
Read This if You Want to Be a Great Writer,"Raisin, Ross",,1786271974,9781786271976,136,2018,2018,2021,productivity,non-fiction,,,
A Photographic Guide To Mushrooms And Other Fungi Of New Zealand (Photographic Guide),"Ridley, G.S.",,1869661346,9781869661342,143,2006,2006,2021,nature,non-fiction,,,
Gravity Well,"Joosten, Melanie",,192532205X,9781925322057,288,2017,2017,2021,astronomy,,,,
La caja y la luna: The box and the moon,"Romero, Patricia",Vicky Collar,8417268073,9788417268077,30,2017,2017,2021,spanish,,,,
"The Big, Bad Book of Botany: The World's Most Fascinating Flora","Largo, Michael",,,,419,2014,2014,2021,nature,non-fiction,,,
Vedic Mathematics,"Agrawala, V S",Jagadguru Sankaracarya Sri Bharati Krsna Tirthaji Maharaja of Govadharna Matha Puri,,9.78812E+12,355,2018,1992,2023,hinduism;mathematics;india,non-fiction,,own-physical,
India's Security in a Turbulent World,"Singh, Jasjit",,,9.78812E+12,175,2015,2013,2023,india,non-fiction,,own-physical,
Indian Society: Institutions and Change,"Sharma, Rajendra K",,,9.78817E+12,378,2022,2004,2023,hinduism;india,non-fiction,,own-physical,
Principles of Indian Geography,Study IQ Education,,,9.78939E+12,342,2022,2022,2023,india;geography,non-fiction,,own-physical,
Indian History,"Pandey, Manohar",,9358892021,9.78936E+12,472,2023,2023,2023,india;history,non-fiction,,own-physical,
"Indian Heritage, Art, and Culture","Bhagat, Madhukur Kumar",,,9.78939E+12,,2022,2022,2023,india;history,non-fiction,,own-physical,
Geek Girl,"Smale, Holly",,,,,,,2015,,,,,
Model Misfit,"Smale, Holly",,,,,,,2015,,,,,
Picture Perfect,"Smale, Holly",,,,,,,2015,,,,,
All That Glitters,"Smale, Holly",,,,,,,2015,,,,,
Sunny Side Up,"Smale, Holly",,,,,,,2016,,,,,
Head Over Heels,"Smale, Holly",,,,,,,2016,,,,,
Forever Geek,"Smale, Holly",,,,,,,2017,,,,,
Fool's Gold: Color Me Consumed,"Carson, Melody",,,,,,,2014,,,,,
Bitter Rose: Color Me Crushed,"Carson, Melody",,,,,,,2014,,,,,
Faded Denim: Color Me Trapped,"Carson, Melody",,,,,,,2014,,,,,
Moon White: Color Me Enchanted,"Carson, Melody",,,,,,,2014,,,,,
Going Bovine,"Bray, Libby",,,,,,,2015,,,,,
In case of emergency,"Scott, E G",,,,,,,2021,,,,,
The relentless moon,"Kowal, Mary Robinette",,,,,,,2021,,,,,
Radio Rebel,,,,,,,,,,,,,
