cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img1.od-cdn.com/ImageType-100/0292-1/{484BCC4D-920E-4EF5-9E95-1D4C106C839C}Img100.jpg,Part of the Family,Charlotte Philby,HarperCollins Publishers,9780008327002,"February 05, 2023 03:12",Returned,on due date,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/1523-1/{5AE129E3-B9C2-4195-B9B1-5E2E5C4BBEAF}IMG100.JPG,After the Sun,Jonas Eika,Penguin Publishing Group,9780593329115,"February 05, 2023 00:21",Returned,on due date,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0874-1/{D1E2B7C1-EEE3-4520-A4FB-DDCE0F0DDFAC}Img100.jpg,The Dark Net,Benjamin Percy,HarperCollins,9780544750579,"February 04, 2023 22:34",Returned,on due date,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0111-1/{E9294334-E3C2-475E-86A0-435E1ACB1A1C}Img100.jpg,Consent,Annabel Lyon,Knopf Doubleday Publishing Group,9780593318010,"February 04, 2023 21:21",Returned,on due date,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0293-1/{F5E4C6E6-8539-4764-8999-3FD6D515BAB1}Img100.jpg,Snowflake,Louise Nealon,HarperCollins,9780063073951,"February 04, 2023 20:09",Returned,on due date,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/2363-1/{D315B47B-5EE4-4FDF-A8A5-77B0941FE58C}Img100.jpg,For Nobody's Eyes Only,Nick Redfern,Red Wheel/Weiser,9781601635037,"February 04, 2023 18:55",Returned,on due date,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0017-1/{A0DB87A0-9958-43C1-86D9-A05E3F9CA836}Img100.jpg,Adrenaline,Jeff Abbott,Grand Central Publishing,9780446575195,"January 31, 2023 10:34",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/0111-1/{4D169D00-50B0-4393-9F84-9D4582606C57}Img100.jpg,The Third Twin,Ken Follett,Random House Publishing Group,9780307775108,"January 31, 2023 10:33",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/0111-1/{129893AC-A07D-4517-9D3E-60E5CFF6A3D5}Img100.jpg,A Knife Edge,David Rollins,Random House Publishing Group,9780553906233,"January 31, 2023 10:33",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/0293-1/{8180518C-AB9D-42BC-B4F9-60DA037E866B}Img100.jpg,Verify,Joelle Charbonneau,HarperCollins,9780062803641,"January 29, 2023 03:41",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/0174-1/{D02E069D-DC31-4425-911F-B1869E6077E0}Img100.jpg,The Girl Who Wasn't There,Penny Joelson,Sourcebooks,9781492698869,"January 29, 2023 03:40",Borrowed,"",Alexandria Library
