Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
15839944,Finding Mr Flood,Ciara Geraghty,"Geraghty, Ciara",,1444757814,9781444757811,0,3.66,Hodder & Stoughton,Paperback,572,2012,2011,,8/3/23,,,read,,,,1,0
57624794,Fire Burn and Cauldron Bubble (Underworld #1),H.P. Mallory,"Mallory, H.P.",,,,0,3.85,,Kindle Edition,470,2021,2010,,8/3/23,,,read,,,,1,0
56223453,Five Total Strangers,Natalie D. Richards,"Richards, Natalie D.",,,,0,3.31,,Paperback,299,,2020,1/21/23,8/3/23,,,read,,,,1,0
45444206,Follow the Blue.,Brigid Lowry,"Lowry, Brigid",,3423708549,9783423708548,0,3.61,DTV Deutscher Taschenbuch,Pocket Book,,2004,2001,,8/3/23,,,read,,,,1,0
401540,Freaky Green Eyes,Joyce Carol Oates,"Oates, Joyce Carol",,0064473481,9780064473484,0,3.6,HarperTeen,Paperback,368,2005,2003,,8/3/23,,,read,,,,1,0
33898203,Frozen Charlotte: A Ghost Story,Alex Bell,"Bell, Alex",,1338129384,9781338129380,0,4.22,Scholastic,Unknown Binding,297,2016,2014,,8/3/23,,,read,,,,1,0
29080079,"Galdoni (The Galdoni, #1)",Cheree Alsop,"Alsop, Cheree",,,,0,3.82,Cheree Alsop,Audible Audio,,2014,2011,,8/3/23,,,read,,,,1,0
34462983,"Geek Girl Series Holly Smale 4 Collection Books Boxed Set ( Picture Perfect, Model Misfit, Geek Girl, All That Glitters)",Holly Smale,"Smale, Holly",,000795784X,9780007957842,0,4.25,HarperCollins,Paperback,,2016,,6/27/15,8/3/23,,,read,,,,1,0
7234828,"Glimmerglass (Faeriewalker, #1)",Jenna Black,"Black, Jenna",,0312575939,9780312575939,0,3.74,St. Martin's Griffin,Paperback,294,2010,2010,,8/3/23,,,read,,,,1,0
18136678,"Grey Eyes (The Forever Trilogy, #1)",Alston,"Alston, Alston",,,,0,3.75,Smashwords,ebook,640,2011,2011,,8/3/23,,,read,,,,1,0
18626865,Grimm's Fairy Stories,Jacob Grimm,"Grimm, Jacob",Wilhelm Grimm,,,0,4.09,Public Domain Books,Kindle Edition,144,2004,1812,8/14/14,8/3/23,,,read,,,,1,0
17839022,"Hidden Gem (Hidden Gem, #1)",India Lee,"Lee, India",,,9781458196330,0,3.78,India Lee,ebook,,2011,2011,,8/3/23,,,read,,,,1,0
31351167,"Hollowland (The Hollows, #1)",Amanda Hocking,"Hocking, Amanda",,1536897345,9781536897340,0,3.96,Createspace,Paperback,330,2016,2010,,8/3/23,,,read,,,,1,0
16148048,Horus Rising (Horus Heresy #1),Dan Abnett,"Abnett, Dan",,,9780857870216,0,4.22,Black Library,ebook,412,2010,2006,,8/3/23,,,read,,,,1,0
22449779,I am not Esther,Fleur Beale,"Beale, Fleur",,,9781869799083,0,3.92,Random House New Zealand,ebook,,2012,1998,9/27/14,8/3/23,,,read,,,,1,0
31310100,Idaho,Emily Ruskovich,"Ruskovich, Emily",,,,0,3.51,Random House,Kindle Edition,320,2017,2017,9/6/21,8/3/23,,,read,,,,1,0
19469967,"Ignite (Project Integrate, #0.5)",Jamie Campbell,"Campbell, Jamie",,,,0,3.58,,Kindle Edition,48,2013,,,8/3/23,,,read,,,,1,0
18112935,In Your Dreams (In Your Dreams #1),Amy    Martin,"Martin, Amy",,,,0,3.78,Amy Martin,Kindle Edition,,2012,2012,,8/3/23,,,read,,,,1,0
1239698,Indigo Blue,Cathy Cassidy,"Cassidy, Cathy",,0141317841,9780141317847,0,3.91,Puffin,Paperback,185,2005,2005,9/10/15,8/3/23,,,read,,,,1,0
43396760,Insanity (Mad in Wonderland - Alice Wonder series) Books 1 - 5,Cameron Jace,"Jace, Cameron",,,,0,3.6,Storybook Publishing,Kindle Edition,1386,2018,,,8/3/23,,,read,,,,1,0
28254094,Insight (Insight #1; Web of Hearts and Souls #1),Jamie Magee,"Magee, Jamie",,,,0,3.78,,Kindle Edition,405,2015,2010,,8/3/23,,,read,,,,1,0
17257584,"Invisible (Invisible, #1)",Cecily Anne Paterson,"Paterson, Cecily Anne",,,,0,3.91,,Kindle Edition,270,2013,2013,,8/3/23,,,read,,,,1,0
20332158,Leftovers,Heather Waldorf,"Waldorf, Heather",,,,0,3.62,Orca Book Publishers,Kindle Edition,210,2013,2009,,8/3/23,,,read,,,,1,0
71868,Letters from the Inside,John Marsden,"Marsden, John",,0330397761,9780330397766,0,3.69,,,144,,1991,,8/3/23,,,read,,,,1,0
63333472,"Marking Time (The Immortal Descendants, #1)",April White,"White, April",,,,0,4.21,Corazon Entertainment ,Kindle Edition,448,2022,2012,,8/3/23,,,read,,,,1,0
16181484,Mindspeak,Heather Sunseri,"Sunseri, Heather",,0988715309,9780988715301,0,3.74,Sun Publishing,ebook,,2013,2013,,8/3/23,,,read,,,,1,0
1751324,Missing Judy,Anne Cassidy,"Cassidy, Anne",,043994998X,9780439949989,0,3.77,Scholastic Point,Paperback,,2006,2002,9/20/15,8/3/23,,,read,,,,1,0
63120226,Never Never,Colleen Hoover,"Hoover, Colleen",Tarryn Fisher,1335004882,9781335004888,0,3.42,Canary Street Press,Paperback,416,2023,2016,9/8/16,8/3/23,,,read,,,,1,0
20307191,Night Vision,Ella West,"West, Ella",,1743317662,9781743317662,0,3.52,Allen and Unwin Australia,Paperback,180,2014,2014,,8/3/23,,,read,,,,1,0
22303424,Open Fire: Battle Boy 1,Charlie Carter,"Carter, Charlie",,,,0,3.74,Macmillan Australia,Kindle Edition,57,2009,2009,,8/3/23,,,read,,,,1,0
8113994,Oracle,Jackie French,"French, Jackie",,0732288401,9780732288402,0,3.94,HarperCollins Australia,Paperback,352,2010,2010,,8/3/23,,,read,,,,1,0
24261372,"Orientation (The Commorancy, #1)",Al K. Line,"Line, Al K.",,,,0,3.46,Al K. Line,ebook,345,2014,2014,,8/3/23,,,read,,,,1,0
6528830,Outside In,Chrissie Keighery,"Keighery, Chrissie",,1921502363,9781921502361,0,3.42,Hardie Grant Egmont,Paperback,183,2012,2009,,8/3/23,,,read,,,,1,0
9843424,"Parallel (Travelers, #1)",Claudia Lefeve,"Lefeve, Claudia",,,,0,3.6,Sugar Skull Books,Kindle Edition,266,2011,2011,,8/3/23,,,read,,,,1,0
22043006,"Planet Urth (Planet Urth, #1)",Jennifer Martucci,"Martucci, Jennifer",,,,0,3.68,,Kindle Edition,284,,2013,2/10/14,8/3/23,,,read,,,,1,0
17340300,Rebirth (Rogues Shifter #1),Gayle Parness,"Parness, Gayle",,,,0,3.92,Gayle Parness,ebook,,2012,2011,,8/3/23,,,read,,,,1,0
21785636,"Rumors (Lingering Echoes, #0.5)",Erica Kiefer,"Kiefer, Erica",,1940534364,9781940534367,0,3.74,"Clean Teen Publishing, Inc.",ebook,237,2013,2013,,8/3/23,,,read,,,,1,0
7965291,Running in Heels,Helen Bailey,"Bailey, Helen",,1444900846,9781444900842,0,3.65,Hodder Children's Books,Paperback,336,2011,2010,,8/3/23,,,read,,,,1,0
17368120,"Saving Wishes (Wishes, #1)",G.J. Walker-Smith,"Walker-Smith, G.J.",,0987484516,9780987484512,0,4.18,Gemma Walker-Smith,Paperback,368,2013,2013,,8/3/23,,,read,,,,1,0
25381277,"Sensational Spylet (Jane Blonde, #1)",Jill Marshall,"Marshall, Jill",,,,0,3.78,Macmillan,Kindle Edition,260,2006,2006,12/28/14,8/3/23,,,read,,,,1,0
20263409,Shadows of the Realm (The Circle of Talia #1),Dionne Lister,"Lister, Dionne",,098730786X,9780987307866,0,3.84,Dionne Lister,Paperback,348,2012,2012,,8/3/23,,,read,,,,1,0
29911085,Shift,Em Bailey,"Bailey, Em",,1405282886,9781405282888,0,3.65,Electric Monkey,Paperback,320,2016,2011,,8/3/23,,,read,,,,1,0
6729036,Shine On Daizy Star,Cathy Cassidy,"Cassidy, Cathy",,0141325194,9780141325194,0,3.38,Puffin,Paperback,192,2009,2009,4/18/14,8/3/23,,,read,,,,1,0
